signal,absolute_time_ps,time_from_start_ns,value
mem_req_ready,39005000,6625.000,1
mem_req_ready,39015000,6635.000,0
mem_req_ready,39105000,6725.000,1
mem_req_ready,39115000,6735.000,0
mem_req_ready,39205000,6825.000,1
mem_req_ready,39215000,6835.000,0
mem_req_ready,39305000,6925.000,1
mem_req_ready,39315000,6935.000,0
mem_req_ready,39405000,7025.000,1
mem_req_ready,39415000,7035.000,0
mem_req_ready,39505000,7125.000,1
mem_req_ready,39515000,7135.000,0
mem_req_ready,39605000,7225.000,1
mem_req_ready,39615000,7235.000,0
mem_req_ready,39705000,7325.000,1
mem_req_ready,39715000,7335.000,0
mem_req_write,32380000,0.000,0
mem_req_write,37285000,4905.000,1
mem_req_write,37315000,4935.000,0
mem_req_write,37385000,5005.000,1
mem_req_write,37415000,5035.000,0
mem_req_write,37485000,5105.000,1
mem_req_write,37515000,5135.000,0
mem_req_write,37585000,5205.000,1
mem_req_write,37615000,5235.000,0
mem_req_write,37685000,5305.000,1
mem_req_write,37715000,5335.000,0
mem_req_write,37785000,5405.000,1
mem_req_write,37815000,5435.000,0
mem_req_write,37885000,5505.000,1
mem_req_write,37915000,5535.000,0
mem_req_write,37985000,5605.000,1
mem_req_write,38015000,5635.000,0
mem_req_write,38085000,5705.000,1
mem_req_write,38115000,5735.000,0
mem_req_write,38185000,5805.000,1
mem_req_write,38215000,5835.000,0
mem_req_write,38285000,5905.000,1
mem_req_write,38315000,5935.000,0
mem_req_write,38385000,6005.000,1
mem_req_write,38415000,6035.000,0
mem_req_write,38485000,6105.000,1
mem_req_write,38515000,6135.000,0
mem_req_write,38585000,6205.000,1
mem_req_write,38615000,6235.000,0
mem_req_write,38685000,6305.000,1
mem_req_write,38715000,6335.000,0
mem_req_write,38785000,6405.000,1
mem_req_write,38815000,6435.000,0
mem_req_write,38885000,6505.000,1
mem_req_write,38915000,6535.000,0
mem_req_write,38985000,6605.000,1
mem_req_write,39015000,6635.000,0
mem_req_write,39085000,6705.000,1
mem_req_write,39115000,6735.000,0
mem_req_write,39185000,6805.000,1
mem_req_write,39215000,6835.000,0
mem_req_write,39285000,6905.000,1
mem_req_write,39315000,6935.000,0
mem_req_write,39385000,7005.000,1
mem_req_write,39415000,7035.000,0
mem_req_write,39485000,7105.000,1
mem_req_write,39515000,7135.000,0
mem_req_write,39585000,7205.000,1
mem_req_write,39615000,7235.000,0
mem_req_write,39685000,7305.000,1
mem_req_write,39715000,7335.000,0
mem_rsp_valid,32380000,0.000,0
mem_rsp_valid,32495000,115.000,1
mem_rsp_valid,32505000,125.000,0
mem_rsp_valid,32575000,195.000,1
mem_rsp_valid,32585000,205.000,0
mem_rsp_valid,32655000,275.000,1
mem_rsp_valid,32665000,285.000,0
mem_rsp_valid,32735000,355.000,1
mem_rsp_valid,32745000,365.000,0
mem_rsp_valid,32815000,435.000,1
mem_rsp_valid,32825000,445.000,0
mem_rsp_valid,32895000,515.000,1
mem_rsp_valid,32905000,525.000,0
mem_rsp_valid,32975000,595.000,1
mem_rsp_valid,32985000,605.000,0
mem_rsp_valid,33055000,675.000,1
mem_rsp_valid,33065000,685.000,0
mem_rsp_valid,33135000,755.000,1
mem_rsp_valid,33145000,765.000,0
mem_rsp_valid,33215000,835.000,1
mem_rsp_valid,33225000,845.000,0
mem_rsp_valid,33295000,915.000,1
mem_rsp_valid,33305000,925.000,0
mem_rsp_valid,33375000,995.000,1
mem_rsp_valid,33385000,1005.000,0
mem_rsp_valid,33455000,1075.000,1
mem_rsp_valid,33465000,1085.000,0
mem_rsp_valid,33535000,1155.000,1
mem_rsp_valid,33545000,1165.000,0
mem_rsp_valid,33615000,1235.000,1
mem_rsp_valid,33625000,1245.000,0
mem_rsp_valid,33695000,1315.000,1
mem_rsp_valid,33705000,1325.000,0
mem_rsp_valid,33775000,1395.000,1
mem_rsp_valid,33785000,1405.000,0
mem_rsp_valid,33855000,1475.000,1
mem_rsp_valid,33865000,1485.000,0
mem_rsp_valid,33935000,1555.000,1
mem_rsp_valid,33945000,1565.000,0
mem_rsp_valid,34015000,1635.000,1
mem_rsp_valid,34025000,1645.000,0
mem_rsp_valid,34095000,1715.000,1
mem_rsp_valid,34105000,1725.000,0
mem_rsp_valid,34175000,1795.000,1
mem_rsp_valid,34185000,1805.000,0
mem_rsp_valid,34255000,1875.000,1
mem_rsp_valid,34265000,1885.000,0
mem_rsp_valid,34335000,1955.000,1
mem_rsp_valid,34345000,1965.000,0
mem_rsp_valid,34415000,2035.000,1
mem_rsp_valid,34425000,2045.000,0
mem_rsp_valid,34515000,2135.000,1
mem_rsp_valid,34525000,2145.000,0
mem_rsp_valid,34595000,2215.000,1
mem_rsp_valid,34605000,2225.000,0
mem_rsp_valid,34675000,2295.000,1
mem_rsp_valid,34685000,2305.000,0
mem_rsp_valid,34755000,2375.000,1
mem_rsp_valid,34765000,2385.000,0
mem_rsp_valid,34835000,2455.000,1
mem_rsp_valid,34845000,2465.000,0
mem_rsp_valid,34915000,2535.000,1
mem_rsp_valid,34925000,2545.000,0
mem_rsp_valid,34995000,2615.000,1
mem_rsp_valid,35005000,2625.000,0
mem_rsp_valid,35075000,2695.000,1
mem_rsp_valid,35085000,2705.000,0
mem_rsp_valid,35155000,2775.000,1
mem_rsp_valid,35165000,2785.000,0
mem_rsp_valid,35235000,2855.000,1
mem_rsp_valid,35245000,2865.000,0
mem_rsp_valid,35315000,2935.000,1
mem_rsp_valid,35325000,2945.000,0
mem_rsp_valid,35395000,3015.000,1
mem_rsp_valid,35405000,3025.000,0
mem_rsp_valid,35475000,3095.000,1
mem_rsp_valid,35485000,3105.000,0
mem_rsp_valid,35555000,3175.000,1
mem_rsp_valid,35565000,3185.000,0
mem_rsp_valid,35635000,3255.000,1
mem_rsp_valid,35645000,3265.000,0
mem_rsp_valid,35715000,3335.000,1
mem_rsp_valid,35725000,3345.000,0
mem_rsp_valid,35795000,3415.000,1
mem_rsp_valid,35805000,3425.000,0
mem_rsp_valid,35875000,3495.000,1
mem_rsp_valid,35885000,3505.000,0
mem_rsp_valid,35955000,3575.000,1
mem_rsp_valid,35965000,3585.000,0
mem_rsp_valid,36035000,3655.000,1
mem_rsp_valid,36045000,3665.000,0
mem_rsp_valid,36115000,3735.000,1
mem_rsp_valid,36125000,3745.000,0
mem_rsp_valid,36195000,3815.000,1
mem_rsp_valid,36205000,3825.000,0
mem_rsp_valid,36275000,3895.000,1
mem_rsp_valid,36285000,3905.000,0
mem_rsp_valid,36355000,3975.000,1
mem_rsp_valid,36365000,3985.000,0
mem_rsp_valid,36435000,4055.000,1
mem_rsp_valid,36445000,4065.000,0
mem_rsp_valid,37355000,4975.000,1
mem_rsp_valid,37365000,4985.000,0
mem_rsp_valid,37455000,5075.000,1
mem_rsp_valid,37465000,5085.000,0
mem_rsp_valid,37555000,5175.000,1
mem_rsp_valid,37565000,5185.000,0
mem_rsp_valid,37655000,5275.000,1
mem_rsp_valid,37665000,5285.000,0
mem_rsp_valid,37755000,5375.000,1
mem_rsp_valid,37765000,5385.000,0
mem_rsp_valid,37855000,5475.000,1
mem_rsp_valid,37865000,5485.000,0
mem_rsp_valid,37955000,5575.000,1
mem_rsp_valid,37965000,5585.000,0
mem_rsp_valid,38055000,5675.000,1
mem_rsp_valid,38065000,5685.000,0
mem_rsp_valid,38155000,5775.000,1
mem_rsp_valid,38165000,5785.000,0
mem_rsp_valid,38255000,5875.000,1
mem_rsp_valid,38265000,5885.000,0
mem_rsp_valid,38355000,5975.000,1
mem_rsp_valid,38365000,5985.000,0
mem_rsp_valid,38455000,6075.000,1
mem_rsp_valid,38465000,6085.000,0
mem_rsp_valid,38555000,6175.000,1
mem_rsp_valid,38565000,6185.000,0
mem_rsp_valid,38655000,6275.000,1
mem_rsp_valid,38665000,6285.000,0
mem_rsp_valid,38755000,6375.000,1
mem_rsp_valid,38765000,6385.000,0
mem_rsp_valid,38855000,6475.000,1
mem_rsp_valid,38865000,6485.000,0
mem_rsp_valid,38955000,6575.000,1
mem_rsp_valid,38965000,6585.000,0
mem_rsp_valid,39055000,6675.000,1
mem_rsp_valid,39065000,6685.000,0
mem_rsp_valid,39155000,6775.000,1
mem_rsp_valid,39165000,6785.000,0
mem_rsp_valid,39255000,6875.000,1
mem_rsp_valid,39265000,6885.000,0
mem_rsp_valid,39355000,6975.000,1
mem_rsp_valid,39365000,6985.000,0
mem_rsp_valid,39455000,7075.000,1
mem_rsp_valid,39465000,7085.000,0
mem_rsp_valid,39555000,7175.000,1
mem_rsp_valid,39565000,7185.000,0
mem_rsp_valid,39655000,7275.000,1
mem_rsp_valid,39665000,7285.000,0
mem_rsp_valid,39755000,7375.000,1
mem_rsp_valid,39765000,7385.000,0
